参数名称 参数含义
gvkey	公司全球标识符，全局唯一识别一家公司
conm	公司名称
tic	    股票代码，公司的交易代码
cusip	CUSIP编号，代表证券的9位字母数字标识符
cik	    中央索引钥匙（CIK），用于唯一识别SEC中注册的公司
sic	    标准产业分类代码，用于分类公司所属行业
naics	北美行业分类系统代码，用于分类公司所属行业
linkprim	主要链接标识符，指示链接是否为主要链接
linktype	链接类型，指示数据的链接类型
liid	链接标识符，标识链接的唯一标识码
lpermno	永久公司编号，用于在CRSP数据库中唯一标识公司
lpermco	永久公司代码，用于在CRSP数据库中唯一标识公司
linkdt	链接日期，表示链接的开始日期
linkenddt	链接结束日期，表示链接的结束日期
datadate	数据日期，财务报表数据的截止日期
fyear	财政年度，公司的财政年
naicsh	历史NAICS代码，公司所属行业的历史分类代码
sich	历史SIC代码，公司所属行业的历史分类代码
aco	    应收账款，公司应收账款的总额
act	    流动资产，公司所有流动资产的总和
ajex	折旧调整系数，用于计算股票回报率的调整系数
am	    应付票据，公司短期应付款项
ao	    其他资产，公司未归类的其他资产
ap	    应付账款，公司未支付的账款
at	    总资产，公司所有资产的总和
capx	资本支出，公司用于购买固定资产的支出
ceq	    普通股股东权益，公司股东权益中的普通股部分
ceqt	总股东权益，公司总股东权益
che	    现金及现金等价物，公司持有的现金及其等价物
cogs	销售成本，公司销售商品或服务的成本
csho	流通股，公司在外流通的普通股数量
cshrc	流通股的变化，公司流通股数量的变化
dcpstk	优先股股息，公司应支付的优先股股息
dcvt	可转换债券，公司发行的可转换债券
dlc	    短期债务，公司短期内需要偿还的债务
dlcch	短期债务的变化，公司短期债务的增减变动
dltis	长期债务发行，公司发行的长期债务
dltr	长期债务的还款，公司偿还的长期债务
dltt	长期债务，公司需要偿还的长期债务
dm	    少数股东权益，公司少数股东的权益部分
dp	    折旧费用，公司固定资产的折旧费用
drc	    应收票据，公司短期内应收的票据
drlt	长期应收账款，公司长时间内应收的账款
dv	    股息，公司支付的股息总额
dvc	    普通股股息，公司支付的普通股股息
dvp	    优先股股息，公司支付的优先股股息
dvpa	预提股息，公司预提的股息
dvpd	分派股息，公司分派的股息
dvpsx_c	普通股每股股息，公司每股普通股支付的股息
dvt	    递延税项，公司应在未来支付的税款
